bp	genome_feature	SNP_count	consistency_index	CountsACGT	Min.No.ChangesonTree	Protein	Function
1	NC	0	0	0	0	NC	NC
2	NC	0	0	0	0	NC	NC
3	NC	0	0	0	0	NC	NC
4	NC	0	0	0	0	NC	NC
5	NC	0	0	0	0	NC	NC
6	NC	0	0	0	0	NC	NC
7	NC	0	0	0	0	NC	NC
8	NC	0	0	0	0	NC	NC
9	NC	0	0	0	0	NC	NC
10	NC	0	0	0	0	NC	NC
11	NC	0	0	0	0	NC	NC
12	NC	0	0	0	0	NC	NC
13	NC	0	0	0	0	NC	NC
14	NC	0	0	0	0	NC	NC
15	NC	0	0	0	0	NC	NC
16	NC	0	0	0	0	NC	NC
17	NC	0	0	0	0	NC	NC
18	NC	0	0	0	0	NC	NC
19	NC	0	0	0	0	NC	NC
20	NC	0	0	0	0	NC	NC
21	NC	0	0	0	0	NC	NC
22	NC	0	0	0	0	NC	NC
23	NC	0	0	0	0	NC	NC
24	NC	0	0	0	0	NC	NC
25	NC	0	0	0	0	NC	NC
26	NC	0	0	0	0	NC	NC
27	NC	0	0	0	0	NC	NC
28	NC	0	0	0	0	NC	NC
29	NC	0	0	0	0	NC	NC
30	NC	0	0	0	0	NC	NC
31	NC	0	0	0	0	NC	NC
32	NC	0	0	0	0	NC	NC
33	NC	0	0	0	0	NC	NC
34	NC	0	0	0	0	NC	NC
35	NC	0	0	0	0	NC	NC
36	NC	0	0	0	0	NC	NC
37	NC	0	0	0	0	NC	NC
38	NC	0	0	0	0	NC	NC
39	NC	0	0	0	0	NC	NC
40	NC	0	0	0	0	NC	NC
41	NC	0	0	0	0	NC	NC
42	NC	0	0	0	0	NC	NC
43	NC	0	0	0	0	NC	NC
44	NC	0	0	0	0	NC	NC
45	NC	0	0	0	0	NC	NC
46	NC	0	0	0	0	NC	NC
47	NC	0	0	0	0	NC	NC
48	NC	0	0	0	0	NC	NC
49	NC	0	0	0	0	NC	NC
50	NC	0	0	0	0	NC	NC
51	NC	0	0	0	0	NC	NC
52	NC	0	0	0	0	NC	NC
53	NC	0	0	0	0	NC	NC
54	NC	0	0	0	0	NC	NC
55	NC	0	0	0	0	NC	NC
56	NC	0	0	0	0	NC	NC
57	NC	0	0	0	0	NC	NC
58	NC	0	0	0	0	NC	NC
59	NC	0	0	0	0	NC	NC
60	NC	0	0	0	0	NC	NC
61	NC	0	0	0	0	NC	NC
62	NC	0	0	0	0	NC	NC
63	NC	0	0	0	0	NC	NC
64	NC	0	0	0	0	NC	NC
65	NC	0	0	0	0	NC	NC
66	NC	0	0	0	0	NC	NC
67	NC	0	0	0	0	NC	NC
68	NC	0	0	0	0	NC	NC
69	NC	0	0	0	0	NC	NC
70	NC	0	0	0	0	NC	NC
71	NC	0	0	0	0	NC	NC
72	NC	0	0	0	0	NC	NC
73	NC	0	0	0	0	NC	NC
74	NC	0	0	0	0	NC	NC
75	NC	0	0	0	0	NC	NC
76	NC	0	0	0	0	NC	NC
77	NC	0	0	0	0	NC	NC
78	NC	0	0	0	0	NC	NC
79	NC	0	0	0	0	NC	NC
80	NC	0	0	0	0	NC	NC
81	NC	0	0	0	0	NC	NC
82	NC	0	0	0	0	NC	NC
83	NC	0	0	0	0	NC	NC
84	NC	0	0	0	0	NC	NC
85	NC	0	0	0	0	NC	NC
86	NC	0	0	0	0	NC	NC
87	NC	0	0	0	0	NC	NC
88	NC	0	0	0	0	NC	NC
89	NC	0	0	0	0	NC	NC
90	NC	0	0	0	0	NC	NC
91	NC	0	0	0	0	NC	NC
92	NC	0	0	0	0	NC	NC
93	NC	0	0	0	0	NC	NC
94	NC	0	0	0	0	NC	NC
95	NC	0	0	0	0	NC	NC
96	NC	0	0	0	0	NC	NC
97	NC	0	0	0	0	NC	NC
98	NC	0	0	0	0	NC	NC
99	NC	0	0	0	0	NC	NC
100	NC	0	0	0	0	NC	NC
101	NC	0	0	0	0	NC	NC
102	NC	0	0	0	0	NC	NC
103	NC	0	0	0	0	NC	NC
104	NC	0	0	0	0	NC	NC
105	NC	0	0	0	0	NC	NC
106	NC	0	0	0	0	NC	NC
107	NC	0	0	0	0	NC	NC
108	NC	0	0	0	0	NC	NC
109	NC	0	0	0	0	NC	NC
110	NC	0	0	0	0	NC	NC
111	NC	0	0	0	0	NC	NC
112	NC	0	0	0	0	NC	NC
113	NC	0	0	0	0	NC	NC
114	NC	0	0	0	0	NC	NC
115	NC	0	0	0	0	NC	NC
116	NC	0	0	0	0	NC	NC
117	NC	0	0	0	0	NC	NC
118	NC	0	0	0	0	NC	NC
119	NC	0	0	0	0	NC	NC
120	NC	0	0	0	0	NC	NC
121	NC	0	0	0	0	NC	NC
122	NC	0	0	0	0	NC	NC
123	NC	0	0	0	0	NC	NC
124	NC	0	0	0	0	NC	NC
125	NC	0	0	0	0	NC	NC
126	NC	0	0	0	0	NC	NC
127	NC	0	0	0	0	NC	NC
128	NC	0	0	0	0	NC	NC
129	NC	0	0	0	0	NC	NC
130	NC	0	0	0	0	NC	NC
131	NC	0	0	0	0	NC	NC
132	NC	0	0	0	0	NC	NC
133	NC	0	0	0	0	NC	NC
134	NC	0	0	0	0	NC	NC
135	NC	1	0	0	0	NC	NC
136	NC	1	0	0	0	NC	NC
137	NC	1	0	0	0	NC	NC
138	NC	0	0	0	0	NC	NC
139	NC	5	0.500000000	46509:0:5:0	  2	NC	NC
140	NC	14	0.142857143	0:46513:0:14	  7	NC	NC
141	NC	4	0.333333333	0:4:0:46526	  3	NC	NC
142	NC	2	0	0	0	NC	NC
143	NC	0	0	0	0	NC	NC
144	NC	0	0	0	0	NC	NC
145	NC	1	0	0	0	NC	NC
146	NC	0	0	0	0	NC	NC
147	NC	7	0.333333333	2:46536:0:5	  6	NC	NC
148	NC	5	0	0	0	NC	NC
149	NC	2	0	0	0	NC	NC
150	NC	11	0.200000000	0:11:0:46569	  5	NC	NC
151	NC	3	0	0	0	NC	NC
152	NC	0	0	0	0	NC	NC
153	NC	12	0.166666667	0:0:12:46573	  6	NC	NC
154	NC	0	0	0	0	NC	NC
155	NC	1	0	0	0	NC	NC
156	NC	1	0	0	0	NC	NC
157	NC	3	0	0	0	NC	NC
158	NC	1	0	0	0	NC	NC
159	NC	0	0	0	0	NC	NC
160	NC	18	0.200000000	0:0:46573:12	  5	NC	NC
161	NC	5	0	0	0	NC	NC
162	NC	2	0.500000000	0:46594:0:2	  2	NC	NC
163	NC	2	0	0	0	NC	NC
164	NC	1	0	0	0	NC	NC
165	NC	1	0	0	0	NC	NC
166	NC	0	0	0	0	NC	NC
167	NC	5	0.600000000	1:1:46599:3	  5	NC	NC
168	NC	1	0	0	0	NC	NC
169	NC	3	0	0	0	NC	NC
170	NC	0	0	0	0	NC	NC
171	NC	0	0	0	0	NC	NC
172	NC	0	0	0	0	NC	NC
173	NC	5	0.333333333	0:46608:0:5	  3	NC	NC
174	NC	50	0.100000000	0:0:46563:29	 10	NC	NC
175	NC	0	0	0	0	NC	NC
176	NC	3	0.333333333	0:46615:0:3	  3	NC	NC
177	NC	1	0	0	0	NC	NC
178	NC	0	0	0	0	NC	NC
179	NC	0	0	0	0	NC	NC
180	NC	10	0.250000000	0:46606:0:10	  4	NC	NC
181	NC	2	0	0	0	NC	NC
182	NC	0	0	0	0	NC	NC
183	NC	3	0.500000000	0:46630:0:3	  2	NC	NC
184	NC	1	0	0	0	NC	NC
185	NC	2	0.500000000	0:0:46633:2	  2	NC	NC
186	NC	24	0.083333333	0:46610:0:23	 12	NC	NC
187	NC	346	0.200000000	46282:0:346:0	  5	NC	NC
188	NC	11	0.500000000	9:0:46621:2	  4	NC	NC
189	NC	23	0.333333333	20:0:46608:0	  3	NC	NC
190	NC	9	0.400000000	0:46627:1:8	  5	NC	NC
191	NC	2	0.500000000	0:2:0:46630	  2	NC	NC
192	NC	0	0	0	0	NC	NC
193	NC	2	0	0	0	NC	NC
194	NC	2	0	0	0	NC	NC
195	NC	0	0	0	0	NC	NC
196	NC	0	0	0	0	NC	NC
197	NC	3	0	0	0	NC	NC
198	NC	8	0.400000000	6:0:46634:2	  5	NC	NC
199	NC	35	0.166666667	0:0:46611:33	  6	NC	NC
200	NC	0	0	0	0	NC	NC
201	NC	1	0	0	0	NC	NC
202	NC	4	0	0	0	NC	NC
203	NC	35	0.045454545	0:46588:0:35	 22	NC	NC
204	NC	15	0.125000000	0:0:46619:11	  8	NC	NC
205	NC	4	0	0	0	NC	NC
206	NC	1	0	0	0	NC	NC
207	NC	12	0.200000000	0:46624:0:12	  5	NC	NC
208	NC	16	0.200000000	0:0:46623:16	  5	NC	NC
209	NC	0	0	0	0	NC	NC
210	NC	17	0.083333333	0:0:46614:17	 12	NC	NC
211	NC	1	0	0	0	NC	NC
212	NC	12	0.333333333	4:8:0:46628	  6	NC	NC
213	NC	3	0.666666667	2:0:46636:1	  3	NC	NC
214	NC	1	0	0	0	NC	NC
215	NC	1	0	0	0	NC	NC
216	NC	3	0.333333333	3:0:46630:0	  3	NC	NC
217	NC	2	0.500000000	0:46630:0:2	  2	NC	NC
218	NC	22	0.200000000	0:46613:0:22	  5	NC	NC
219	NC	40	0.062500000	0:0:46590:34	 16	NC	NC
220	NC	1	0	0	0	NC	NC
221	NC	10	0.500000000	1:8:1:46625	  6	NC	NC
222	NC	57	0.052631579	0:46573:0:57	 19	NC	NC
223	NC	2	0	0	0	NC	NC
224	NC	5	0.400000000	1:4:0:46627	  5	NC	NC
225	NC	11	0.200000000	0:46624:0:11	  5	NC	NC
226	NC	1	0	0	0	NC	NC
227	NC	2	0	0	0	NC	NC
228	NC	31	0.142857143	0:46593:0:31	  7	NC	NC
229	NC	3	0.666666667	46627:2:1:0	  3	NC	NC
230	NC	1	0	0	0	NC	NC
231	NC	4	0.666666667	46617:0:3:1	  3	NC	NC
232	NC	4	0.500000000	0:3:1:46619	  4	NC	NC
233	NC	6	0.500000000	4:46616:0:2	  4	NC	NC
234	NC	4	0.333333333	0:4:0:46619	  3	NC	NC
235	NC	1	0	0	0	NC	NC
236	NC	0	0	0	0	NC	NC
237	NC	2	0	0	0	NC	NC
238	NC	0	0	0	0	NC	NC
239	NC	2	0	0	0	NC	NC
240	NC	2	0.500000000	0:2:0:46605	  2	NC	NC
241	NC	10275	0.021276596	0:10275:0:36237	 47	NC	NC
242	NC	24	0.100000000	0:0:46583:24	 10	NC	NC
243	NC	1	0	0	0	NC	NC
244	NC	3	0.666666667	1:46613:0:2	  3	NC	NC
245	NC	3	0.666666667	1:46609:0:2	  3	NC	NC
246	NC	7	0.333333333	0:0:46603:7	  3	NC	NC
247	NC	3	0.666666667	2:0:46607:1	  3	NC	NC
248	NC	4	0.500000000	0:0:46612:4	  2	NC	NC
249	NC	0	0	0	0	NC	NC
250	NC	0	0	0	0	NC	NC
251	NC	0	0	0	0	NC	NC
252	NC	7	0.142857143	0:0:46573:7	  7	NC	NC
253	NC	2	0.500000000	46577:0:2:0	  2	NC	NC
254	NC	1	0	0	0	NC	NC
255	NC	0	0	0	0	NC	NC
256	NC	7	0.333333333	5:0:46587:2	  6	NC	NC
257	NC	2	0	0	0	NC	NC
258	NC	0	0	0	0	NC	NC
259	NC	0	0	0	0	NC	NC
260	NC	2	0	0	0	NC	NC
261	NC	1	0	0	0	NC	NC
262	NC	1	0	0	0	NC	NC
263	NC	3	0	0	0	NC	NC
264	NC	1	0	0	0	NC	NC
265	NC	1	0	0	0	NC	NC
266	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
267	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
268	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
269	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
270	ORF1a	1	0	0	0	Nsp1	Suppresses host antiviral response
271	ORF1a	7	0	0	0	Nsp1	Suppresses host antiviral response
272	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
273	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
274	ORF1a	13	0.250000000	0:46608:0:11	  4	Nsp1	Suppresses host antiviral response
275	ORF1a	3	0	0	0	Nsp1	Suppresses host antiviral response
276	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
277	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
278	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
279	ORF1a	0	0	0	0	Nsp1	Suppresses host antiviral response
